sample_id,value
3188,0.00011778381112962871
3189,1.5288930386304924e-05
3190,2.2953625582158513e-05
3191,-0.00023432868998497626
3192,-6.894035171717379e-05
3193,-8.052156297489954e-05
3194,-4.401173992082472e-05
3195,0.00013981491466984137
3196,1.724441647529602e-05
3197,-9.548201188445076e-05
3198,-0.00018013312015682375
3199,1.5889357868582e-05
3200,1.8169537186622555e-05
3201,2.57041102275252e-05
3202,8.759365445002878e-05
3203,1.2839912995696003e-05
3204,-2.0600714534521147e-05
3205,-6.79927776567638e-05
3206,-1.0631764866411696e-05
3207,-6.0120339132845355e-05
3208,1.7276563681661998e-05
3209,-7.014336222782675e-05
3210,-4.552945122122736e-06
3211,0.00013842796832323076
3212,-0.0002990375624969591
3213,3.780894577503186e-05
3214,9.39428135752673e-06
3215,-4.4800676498561865e-05
3216,9.176338091492637e-07
3217,8.184975013136948e-07
3218,-0.0001092349881306287
3219,1.83884078636766e-05
3220,-0.0001364161997102199
3221,-0.00010161026855930629
3222,-3.717001210898138e-05
3223,-8.389363698661332e-05
3224,-0.00013405840843915958
3225,1.7517357319593414e-05
3226,1.1931344773620323e-05
3227,-0.00010390226813033175
3228,6.97397347539658e-06
3229,3.1427255645394186e-05
3230,-5.23340346291658e-05
3231,-0.00019598247008398124
3232,-9.354715803638044e-05
3233,-6.2941223941743e-05
3234,-0.00013820927990600455
3235,2.242634287104002e-05
3236,-0.00021790175111964286
3237,-1.977513032034021e-05
3238,-0.0001496922747232015
3239,2.2230155859142418e-05
3240,-0.00015917539224028572
3241,-1.3621390331536489e-05
3242,-0.0001838275369256731
3243,-0.000247426706552506
3244,-8.139778152108168e-05
3245,-4.7801435831934126e-05
3246,0.00010334323979914182
3247,0.00014356986368075015
3248,-8.780275192111719e-06
3249,-0.00011448031524196228
3250,8.471750281751131e-06
3251,-0.0002482422009110441
3252,4.110381975769986e-05
3253,5.516236089169967e-06
3254,0.00017437729723751547
3255,-8.984440686181135e-05
3256,-3.293802477419362e-05
3257,-2.1776436269283194e-05
3258,-1.133861802518367e-05
3259,-7.068270500749329e-05
3260,3.0508396960794896e-05
3261,1.9596157595515226e-06
3262,2.2087473794817856e-05
3263,0.000162270573712885
3264,-0.0001995660883374505
3265,1.6171409562229994e-05
3266,1.0230336058884783e-05
3267,-0.00010882637426257073
3268,-4.573159320279941e-05
3269,-2.032905444502853e-06
3270,-6.292983740568157e-05
3271,1.2791598308831473e-05
3272,-0.00015053721126168912
3273,1.3079402036965008e-06
3274,1.3578033540397821e-05
3275,0.00016217181179672445
3276,-0.0001065800115466113
3277,0.00014111342122778277
3278,-1.376720406115052e-05
3279,3.510081619024259e-05
3280,3.2828284706920316e-05
3281,-5.835555493829079e-08
3282,1.0011575184762418e-05
3283,-4.0494029968976894e-05
3284,3.5285094659775364e-05
